Latin,genus,species,family,ctmax,ctmax.lci,ctmax.uci,tcrit,tcrit.lci,tcrit.uci
Adenocalymma comosum,Adenocalymma,comosum,Bignoniaceae,49.53,48.97,50.06,44.1,43,45
Bauhinia divaricata,Bauhinia,divaricata,Fabaceae,48.63,48.1,49.08,42.26,41,43
Brunfelsia lactea,Brunfelsia,lactea,Solanaceae,49.09,48.61,49.71,41.73,40.48,43
Cocculus laurifolius,Cocculus,laurifolius,Menispermaceae,50.54,49.9,51.19,45.99,45,47
Combretum rotundifolium,Combretum,rotundifolium,Combretaceae,50.75,50.44,51.1,44.14,43,45
Cordia goeldiana,Cordia,goeldiana,Boraginaceae,47.48,47.11,47.97,42.82,42,44
Cryptostegia grandiflora,Crypotostegia,grandiflora,Apocynaaceae,51.32,50.53,52.03,43.08,41,45
Eugenia coronata,Eugenia,coronata,Myrtaceae,51.68,51.15,52.17,47.83,47,49
Forestiera segregata,Forestiera,segregata,Oleaceae,49.04,48.66,49.53,40.47,39,41
Galphimia gracilis,Galphimia,gracilis,Malpighiaceae,49.64,49.19,50.02,43.28,43,44
Gardenia taitensis,Gardenia,taitensis,Rubiaceae,50.1,49.72,50.62,45.26,44,46
Ginoria glabra,Ginoria,glabra,Lythraceae,48.93,48.48,49.6,39.75,38,41.52
Hamelia patens,Hamelia,patens,Rubiaceae,49.05,48.27,49.89,38.54,37,40.52
Hibiscus boryanus,Hibiscus,boryanus,Malvaceae,49.72,49.23,50.41,40.26,38.47,41.52
Holmskioldia sanguinea,Holmskioldia,sanguinea,Lamiaceae,48.42,47.9,48.87,44.5,44,45
Justicia brandegeeana,Justicia,brandegeeana,Acanthaceae,49.27,48.98,49.56,44.46,44,45
Maytenus procumbens,Maytenus,procumbens,Celastraceae,51.54,51.02,52.19,43.06,42,44
Moringa stenopetala,Moringa,stenopetala,Moringaceae,48.52,48.27,48.74,44.41,43.48,45
Phaleria macrocarpa,Phaleria,macrocarpa,Thymelaceae,49.16,48.61,49.83,37.25,36,38